what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1425415076144
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Terminate",1425415076214
activated,perspective,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.PDEPerspective",1425415077319
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1425415077325
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425415081781
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1425415084717
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415094771
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1425415095849
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1425415095849
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415095870
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415097499
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415109154
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1425415114914
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425415116103
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415123416
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1425415125711
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1425415125711
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415125742
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1425415131920
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425415136926
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415163500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415185413
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415189842
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415191494
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415191704
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425415197249
